CF
コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2021/03,5997000000,-527000000,-4627000000,-,7097000000,2.41
1332,2021/03,45910000000,-18023000000,-44786000000,-24228000000,14760000000,7.46
1333,2021/03,33361000000,-11996000000,-10812000000,-22771000000,31156000000,4.12
1352,2021/03,4367000000,-1817000000,-662000000,-611000000,4009000000,5.24
1375,2021/03,8204000000,-3689000000,-5198000000,-3726000000,3777000000,15.97
1376,2021/05,2294651000,-838995000,-384763000,-1028317000,5486002000,3.78
1377,2021/05,11362000000,-5165000000,-4005000000,-4689000000,14758000000,16.41
1379,2021/03,10471000000,-4332000000,-4801000000,-3995000000,12833000000,14.17
1380,2021/03,785867000,-332930000,-144656000,-335198000,926888000,12.25
1381,2021/06,2934000000,-2332000000,-483000000,-2340000000,7894000000,13.87
1382,2021/06,352435000,-16048000,-193052000,-22602000,407794000,11.6
1383,2020/10,311441000,-605584000,533961000,-608292000,728771000,5.99
1384,2021/03,635353000,-905438000,-532226000,-912963000,1395633000,4.86
1400,2020/12,33060000,-3519000,22735000,0,1622285000,1.26
1401,2021/05,-1699000,227196000,-85646000,-10324000,1403477000,-0.05
1407,2021/08,5127000000,-4037000000,3315000000,-3394000000,34349000000,7.55
1413,2020/12,6121206000,-733812000,3084863000,-1648795000,18299518000,5.35
1414,2021/06,2737000000,-2638000000,-4485000000,-1510000000,23012000000,3.42
1417,2021/03,41602000000,1869000000,-32200000000,-8917000000,42851000000,8.97
1418,2021/02,633196000,41270000,-636588000,-42604000,3163923000,4.27
1419,2021/05,17639000000,-1520000000,-14436000000,-1655000000,32681000000,8.09
1420,2021/03,6107776000,-106075000,-5137896000,-208398000,7184688000,11.42
1429,2020/12,694189000,-609202000,-311392000,-686212000,1651998000,3.17
1430,2021/05,2814959000,-45189000,-2584505000,-8996000,4276416000,13.46
1431,2021/06,134033000,-599132000,3046753000,-219605000,3324877000,1.43
1433,2021/01,-108653000,-101058000,638160000,-50802000,1367126000,-2.95
1434,2021/08,1158000000,-2385000000,1552000000,-,1355631000,12.49
1435,2020/12,2037639000,187750000,-2430800000,-130384000,5564099000,33.15
1436,2021/04,1283512000,-263193000,285672000,-165037000,2462718000,21.42
1438,2021/09,319000000,-18000000,-97000000,-32005000,1976318000,7.4
1439,2020/12,248360000,7134000,555094000,-124629000,1361285000,4.6
1443,2021/03,1681902000,-2648868000,1791106000,-,3779012000,17.97
1444,2021/07,54452000,-62684000,-1306000,-62452000,710647000,1.89
1446,2021/09,-35000000,-93000000,-725000000,-94364000,2600363000,-0.31
1447,2021/03,-795546000,-1118294000,2539145000,-713960000,3536577000,-3.48
1448,2021/03,3768000000,-465000000,-882000000,-1923000000,6564000000,4.86
1449,2020/12,70347000,-39597000,-36074000,-38432000,168862000,4.75
1450,2021/03,23688000,-64455000,125869000,-52412000,1530477000,0.26
1451,2021/03,1363722000,-46116000,-207563000,-50894000,3984906000,11.72
1491,2021/03,622834000,-43828000,441102000,-41927000,3958425000,1.58
1514,2021/03,1452000000,-36000000,-299000000,-25000000,4646000000,14.85
1515,2021/03,9414000000,-6539000000,-999000000,-6885000000,35236000000,7.9
1518,2021/03,6807000000,-2568000000,4259000000,-,19293000000,11.86
1605,2020/12,292915000000,-417189000000,126747000000,-133125000000,172405000000,37.99
1662,2021/03,43263000000,-6453000000,-15626000000,-15569000000,157963000000,18.02
1663,2020/12,7934000000,-6538000000,-1934000000,-4670000000,21879000000,13.57
1711,2021/03,-515095000,41486000,145855000,0,112610000,-61
1712,2021/02,2074000000,-411000000,-1230000000,-539000000,1031000000,13.91
1716,2021/06,1957496000,-1594308000,-69137000,-1853430000,6610123000,10.12
1717,2021/03,590951000,-135712000,-850502000,-77194000,1438834000,13.94
1718,2020/12,1480476000,-2243749000,-365801000,-2478319000,1282260000,5.43
1719,2021/03,29154000000,-3954000000,-12656000000,-2934000000,128035000000,8.28
1720,2021/03,11629000000,-3753000000,-3308000000,-,34173000000,5.02
1721,2021/03,25469000000,-8861000000,-20258000000,-12151000000,32936000000,4.52
1723,2021/03,4096000000,-2385000000,-1016000000,-340000000,9305000000,12.02
1724,2020/12,1073000000,-374000000,-727000000,-300000000,996000000,9.85
1726,2021/03,-3224000000,-194000000,3672000000,-483000000,2565000000,-8.31
1728,2021/03,258110000,2366000,-1256874000,-48327000,4743856000,1.05
1730,2021/03,210334000,-51258000,-4115000,-51258000,663156000,4.55
1734,2021/03,341315000,-43753000,-101894000,-66833000,2464267000,3.4
1736,2021/03,1235542000,-2262383000,-456856000,-187810000,5576172000,5.27
1737,2021/03,2363418000,-311756000,-423273000,-144429000,6943187000,9.6
1738,2021/03,88297000,-232676000,76917000,-230306000,1292220000,1.02
1739,2021/06,-141118000,-233882000,-1408580000,-16381000,947529000,-0.51
1743,2021/09,1892000000,-568000000,-708000000,-546314000,1611079000,17.94
1757,2021/03,-545029000,-394736000,997228000,-94404000,770092000,-41
1758,2021/01,-419157000,-706327000,-169924000,-820105000,2071039000,-3.15
1762,2021/03,-4116000000,-7298000000,12336000000,-3643000000,72625000000,-1.45
1764,2021/06,1742812000,-190061000,-602178000,-78684000,1699701000,8.8
1766,2021/04,12328000000,-847000000,-2980000000,-1624000000,104493000000,3.98
1768,2021/03,1533546000,-106882000,-149282000,-85674000,4224645000,9.41
1770,2021/03,1579974000,-735668000,-197726000,-157826000,8278788000,6.02
1771,2020/09,652937000,-1197921000,702532000,-75697000,2942098000,4.53
1775,2021/03,7843000000,-392000000,-465000000,-303000000,14316000000,10.57
1776,2021/03,2429000000,-752000000,-267000000,-712000000,10677000000,7.19
1777,2021/03,1762000000,-42000000,-219000000,-54039000,2785000000,8.05
1780,2021/03,-5340000,-218353000,103987000,-218427000,1934360000,-0.02
1782,2021/03,1195000000,-86000000,-1127000000,-84482000,5928239000,6.63
1783,2021/09,4299000000,1058000000,-3740000000,-66662000,2085918000,62.36
1786,2021/03,-2039000000,-2958000000,2404000000,-1229000000,8035000000,-3.69
1787,2021/03,-7174000,-122573000,-627045000,-114250000,3021407000,-0.06
1788,2021/06,369632000,-9778000,-29577000,-13507000,1281336000,4.96
1789,2021/09,-306000000,-721000000,578000000,-609750000,1829875000,-6.24
1793,2021/03,17705000000,-6533000000,-766000000,-286000000,25168000000,24.13
1795,2021/09,22000000,7000000,-199000000,-3865000,2215701000,0.28
1798,2021/03,3188879000,-412238000,-946506000,-344992000,5573235000,336.05
1799,2021/03,2949415000,-3857110000,-799747000,-4254209000,17357216000,5.37
1801,2021/03,67494000000,-18683000000,-37342000000,-,494274000000,4.56
1802,2021/03,24803000000,-79075000000,-8483000000,-,236474000000,1.4
1803,2021/03,80674000000,-113954000000,-42710000000,-122892000000,276321000000,5.54
1805,2021/03,4173000000,-1175000000,-846000000,-2215000000,25235000000,3.56
1807,2021/03,2058687000,-382500000,-1328228000,-304007000,4194669000,5.16
1808,2021/03,31876000000,-35772000000,66799000000,-,214299000000,3.94
1810,2021/03,7080232000,-983615000,-797986000,-892666000,19051218000,8.08
1811,2021/03,21261000000,-716000000,-948000000,-758000000,48818000000,20.1
1812,2021/03,153097000000,-65434000000,-39110000000,-49346000000,300991000000,8.03
1813,2021/03,10451000000,-2661000000,-4754000000,-,11904000000,14.45
1814,2021/03,-3091000000,7000000,-706000000,-142000000,6017000000,-5.47
1815,2021/03,4230000000,-1719000000,-3706000000,-1503000000,17947000000,2.32
1820,2021/03,4907000000,5302000000,-12653000000,-,43574000000,1.46
1821,2021/03,16723000000,-2681000000,9713000000,-3660000000,69591000000,3.97
1822,2021/03,-4357000000,-8892000000,11054000000,-7381000000,28203000000,-2.69
1824,2021/03,59772000000,-13981000000,-75954000000,-,98976000000,8.82
1826,2021/03,194000000,-109000000,-357000000,-9000000,9524000000,0.61
1827,2021/03,-4544000000,89000000,4057000000,-398000000,21874000000,-3.92
1828,2021/03,1632302000,-1133614000,367938000,-1437301000,4525013000,4.28
1832,2021/03,-842000000,1998000000,-209000000,-966000000,6245000000,-1.47
1833,2021/03,23000000,-8963000000,1722000000,-,20129000000,0.01
1835,2021/03,21116161000,-3659050000,-3238023000,-4742330000,31694569000,15.89
1840,2020/10,176002000,-46494000,-173346000,-456717000,3238672000,0.61
1841,2021/03,823000000,-38000000,-343000000,-296999000,4707698000,10.97
1844,2021/07,334117000,-150178000,-244449000,-53303000,2295775000,6.74
1847,2021/03,543000000,-63000000,-797000000,-307000000,11835000000,0.61
1848,2021/03,-137000000,-878000000,912000000,-869000000,1477000000,-0.49
1850,2021/03,2281000000,-26000000,-1511000000,-21000000,4404000000,5.09
1852,2021/03,-12902000000,815000000,-1948000000,-1088000000,15760000000,-9.29
1853,2021/03,-228000000,-74000000,-474000000,-97000000,7727000000,-0.8
1860,2021/03,-21139000000,-30852000000,31279000000,-27577000000,103727000000,-4.17
1861,2021/03,6572000000,-4306000000,-6112000000,-2094000000,71335000000,1.46
1866,2021/03,4003000000,-3617000000,3350000000,-3729938000,12436000000,5.32
1867,2021/03,1012165000,-1153561000,-614880000,-1277105000,6057825000,2.07
1869,2021/03,7214000000,-1086000000,-660000000,-904000000,22420000000,8.14
1870,2021/03,-6757000000,-220000000,15356000000,-,21951000000,-6.34
1871,2021/03,-3684000000,-675000000,-664000000,-722000000,10456000000,-3.14
1873,2020/10,1274000000,-1066000000,52000000,-,4762000000,3.27
1878,2021/03,98461000000,-24740000000,-34315000000,-13448000000,198760000000,6.61
1879,2021/03,7005000000,-403000000,-1139000000,-174000000,62658000000,6.88
1881,2021/03,52729000000,-20476000000,-8192000000,-17050000000,152558000000,11.83
1882,2021/03,6688000000,-2089000000,-3888000000,-1884000000,12764000000,5.98
1883,2021/03,25612000000,222000000,-62186000000,-10841000000,44324000000,10.92
1884,2021/03,8155000000,-4904000000,-1584000000,-5145000000,36691000000,5.17
1885,2021/03,1471000000,-4731000000,-8254000000,-5958000000,32310000000,0.78
1887,2021/05,4572000000,-2172000000,16910000000,-4176000000,46954000000,3.88
1888,2021/03,-5308000000,-651000000,4988000000,-560000000,14376000000,-5.91
1890,2021/03,-6548000000,-961000000,-2095000000,-1081000000,16670000000,-3.79
1892,2021/03,5819000000,-24000000,-2398000000,-151000000,11509000000,10.68
1893,2021/03,30690000000,-12800000000,-3111000000,-11041000000,59197000000,6.52
1897,2020/12,3113000000,145000000,-3011000000,-73000000,8479000000,28.4
1898,2021/03,1138000000,-3622000000,2343000000,-3730000000,14035000000,1.26
1899,2020/12,6909000000,-2193000000,-4680000000,-2264000000,23116000000,3.72
1904,2021/03,7501057000,-2211243000,-495721000,-2352108000,12983881000,15.42
1905,2021/03,-6200000,-638028000,-257612000,-435780000,8402414000,-0.04
1909,2021/03,5099554000,-505091000,-3758395000,-660748000,4516905000,11.84
1911,2020/12,46840000000,-44635000000,-6782000000,-27877000000,122220000000,5.58
1914,2021/03,1365250000,-783672000,-350029000,-1160596000,4982736000,5.97
1921,2021/03,3434000000,-1667000000,1217000000,-848330000,9493281000,14.79
1925,2021/03,430314000000,-389980000000,102731000000,-,416321000000,10.43
1926,2021/03,15206000000,-7228000000,-2499000000,-3241000000,28259000000,14.05
1928,2021/01,191972000000,-95504000000,-77614000000,-87490000000,600234000000,7.85
1929,2021/03,1426000000,-705000000,-1784000000,-731000000,17722000000,2.1
1930,2021/03,4005000000,17000000,-593000000,-1001000000,24250000000,8.92
1934,2021/03,2648000000,-4621000000,-3059000000,-3519000000,40284000000,1.34
1938,2021/03,3069102000,-1520603000,-2017206000,-1520420000,6747295000,5.56
1939,2021/03,9422000000,-1747000000,-2371000000,-1316000000,13318000000,10.51
1941,2021/03,9116000000,6344000000,-7182000000,-1470000000,30477000000,4.94
1942,2021/03,12873000000,-972000000,-26317000000,-5758000000,57187000000,2.32
1944,2021/03,43338000000,-5846000000,-17277000000,-,169146000000,7.79
1945,2021/03,10754000000,-16164000000,469000000,-3406000000,9264000000,18.07
1946,2021/03,24111000000,-3716000000,-9933000000,-4825000000,46857000000,11.18
1948,2021/03,2854000000,-2958000000,-417000000,-236000000,1180000000,8.8
1949,2021/03,14965000000,-2771000000,-2929000000,-2707000000,39589000000,9.71
1950,2021/03,19570000000,-9402000000,-2742000000,-7002000000,42041000000,10
1951,2021/03,6301000000,-9249000000,-1750000000,-10162000000,41246000000,1.1
1952,2021/03,1917000000,309000000,-2504000000,-236000000,12095000000,1.79
1954,2021/06,12073000000,-2750000000,-7928000000,-2220000000,17838000000,10.24
1959,2021/03,9184000000,-4232000000,-10064000000,-2945000000,49800000000,2.34
1960,2021/03,-1323306000,1295188000,-373068000,-1021739000,6314106000,-3.18
1961,2021/03,-483000000,-1423000000,-6974000000,-1494000000,37087000000,-0.25
1963,2021/03,12467000000,-13520000000,196000000,-10206000000,268281000000,2.87
1964,2021/03,3300000000,-551000000,-4481000000,-442000000,6889000000,13.35
1965,2021/03,1136000000,-1295000000,-1113000000,-461000000,13686000000,2.07
1966,2021/03,2065070000,-1076539000,-1001446000,-,2548991000,4.32
1967,2021/03,5425568000,-1598171000,-505006000,-1041535000,6974416000,12.4
1968,2021/03,19576000000,-2011000000,-3927000000,-1641000000,30941000000,15.32
1969,2021/03,22568000000,-324000000,3642000000,-,62271000000,8.2
1971,2021/03,856491000,-747052000,159556000,-747317000,1024502000,10.78
1972,2021/03,1557000000,-306000000,-424000000,-314000000,9298000000,4.83
1973,2021/03,17383000000,-4289000000,-2388000000,-3688000000,68426000000,5.13
1975,2021/03,-1459000000,-170000000,-1453000000,-291000000,15919000000,-2.07
1976,2021/03,5165000000,-532000000,-1469000000,-788000000,22471000000,10.22
1979,2021/03,973000000,-6913000000,-1435000000,-,50670000000,0.48
1980,2021/03,14241000000,-718000000,-3487000000,-366000000,31747000000,9.03
1981,2021/03,1149299000,615542000,-525770000,-318629000,8031676000,3.33
1982,2021/03,10771000000,172000000,-1940000000,-63000000,34399000000,14.73
1992,2021/03,1384596000,49098000,-104533000,-840000,2329102000,21.15
1994,2020/12,-95849000,-213857000,-724646000,-218680000,1912241000,-1.3
1997,2021/08,301000000,-306000000,-396000000,-13843000,3984974000,4.06
1999,2021/06,773389000,-293951000,-52640000,-300381000,2314767000,12.02
2001,2021/03,14804000000,-12585000000,2553000000,-,35320000000,4.49
2002,2021/03,49506000000,-17105000000,-31264000000,-,59152000000,7.29
2003,2021/03,3667000000,-207000000,-1320000000,-1042000000,10543000000,6.49
2004,2021/03,13769000000,-26376000000,13800000000,-10506000000,11160000000,5.38
2009,2020/12,1055335000,-1958315000,-832205000,-444358000,10338923000,4.83
2053,2021/03,5281000000,-1552000000,272000000,-,11737000000,2.91
2055,2021/03,1263233000,-912826000,-115967000,-893180000,9818207000,3.17
2058,2021/03,865000000,-190000000,-92000000,-318000000,2209000000,7.08
2060,2021/03,7737000000,-5989000000,-1550000000,-,2830000000,3.61
2107,2021/03,631000000,402000000,-772000000,-46000000,3491000000,4.89
2108,2021/03,-181000000,-2736000000,-1124000000,-2650000000,6701000000,-0.33
2109,2021/03,11124000000,-4020000000,-4787000000,-5891000000,17691000000,10.22
2112,2021/03,792000000,-481000000,1880000000,-486000000,4897000000,3.34
2114,2021/03,1837577000,-478718000,-345028000,-231855000,3967721000,9.68
2117,2021/03,3319000000,-482000000,-2398000000,-,8524000000,7.58
2120,2021/09,1287000000,-1068000000,-3291000000,-99330000,13145308000,3.59
2121,2021/03,34672000000,-7159000000,-3141000000,-4798000000,149812000000,29.06
2122,2021/09,1366000000,-129000000,-135000000,-170325000,5457357000,5.9
2124,2020/12,4532000000,1312000000,-3617000000,-314000000,13584000000,20.97
2127,2021/03,11458711000,22324721000,-3095947000,-139761000,41863754000,31.71
2130,2021/03,1834630000,-57803000,-751675000,-56722000,4140847000,15.18
2134,2021/03,-417246000,-38845000,-420251000,-43708000,112251000,-88.12
2136,2021/03,367383000,-47763000,-96636000,-47762000,2816854000,7.34
2137,2021/03,18172000,100978000,-62925000,-31073000,3157017000,0.58
2138,2021/03,2432214000,72708000,-1279769000,-121079000,14356927000,6.81
2139,2021/03,-8196000,-256884000,324104000,-11002000,235268000,-0.13
2146,2021/03,6654000000,-2413000000,2613000000,-281000000,25266000000,5.78
2148,2021/03,2212361000,-161291000,-475604000,-,5877480000,32.1
2150,2020/12,1358138000,-332396000,-47163000,-115605000,2306402000,25.6
2151,2021/03,7401000000,-13607000000,5458000000,-8939000000,10282000000,17.6
2152,2021/03,554672000,-4857000,-161660000,-7070000,6680578000,10.09
2153,2021/05,3397000000,-752000000,1631000000,-581000000,17888000000,9.89
2154,2021/06,3510000000,-1350000000,-5155000000,-307000000,21044000000,3.69
2156,2021/03,-143589000,15574000,201930000,-7286000,885158000,-2.29
2157,2021/08,-1942000000,-4474000000,2285000000,-5851437000,5171157000,-9.34
2158,2021/03,2026000000,-347000000,-53000000,-578330000,3001761000,19.54
2159,2021/04,943363000,-214926000,103477000,-3799000,4757148000,4.76
2160,2020/12,1377519000,570205000,801115000,-260477000,10322664000,14.09
2162,2021/03,943451000,-919128000,664229000,-1039778000,4741407000,1.72
2163,2021/01,899285000,-30979000,-232089000,-47929000,3019657000,12.53
2164,2021/08,60000000,-119000000,175000000,-25194000,702584000,2.15
2168,2021/05,18868000000,-9665000000,-5147000000,-8752000000,52298000000,5.64
2169,2020/12,1040078000,-515749000,-561086000,-442351000,1750672000,13.16
2170,2020/12,3970000000,1969000000,-1647000000,-222000000,6449000000,11.25
2172,2021/06,-303084000,-4440000,74044000,-6578000,263065000,-15.4
2173,2021/03,167132000,108003000,901008000,-79073000,2013889000,2.3
2174,2020/12,2434000000,186000000,-434000000,-91000000,16773000000,11.75
2175,2021/03,6769000000,-1783000000,-5224000000,-2035000000,10144000000,18.82
2176,2021/03,438552000,-167640000,-78673000,-167878000,655990000,14.97
2178,2021/02,1948987000,329068000,-1169943000,-94291000,7451382000,4.08
2179,2021/03,260346000,-380348000,126218000,-285356000,1368873000,2.24
2180,2021/06,339902000,-311907000,423079000,-171565000,2587272000,2.21
2181,2021/03,37574000000,-14022000000,-17973000000,-12235000000,82991000000,3.95
2183,2021/03,23610000,169003000,-329560000,-68501000,5084201000,0.23
2185,2021/09,1920000000,-209000000,-1284000000,-126602000,9869819000,11.08
2186,2021/02,369439000,-13375000,-242808000,-13382000,2292163000,4.91
2191,2020/12,-1168803000,103475000,1020949000,-1970000,780563000,-1530.65
2193,2020/12,610242000,-165752000,-428189000,-184626000,22685528000,5.5
2195,2020/12,391688000,-29842000,96808000,-81226000,1235749000,8.5
2196,2021/03,-4493066000,-400640000,7487191000,-429932000,6527640000,-34.72
2198,2020/10,-4355574000,-442000000,1633379000,-559335000,1873191000,-49.8
2201,2021/03,12127000000,-19862000000,-4084000000,-19874000000,31568000000,7.21
2204,2021/03,-172534000,596209000,-1093878000,-356696000,1141107000,-0.56
2206,2020/12,17218000000,-12444000000,-9738000000,-16744000000,92449000000,5
2207,2021/03,3279000000,-1185000000,-893000000,-1294000000,5045000000,13.56
2208,2021/03,8055000000,-5635000000,-932000000,-5767000000,14778000000,6.8
2209,2021/03,3571596000,-1308408000,-2362040000,-1369749000,1099980000,8.47
2211,2020/12,6190000000,-3163000000,-1699000000,-2853000000,12575000000,6.25
2212,2020/12,47157000000,-38623000000,-11585000000,-37002000000,102842000000,4.65
2215,2020/12,233000000,-537000000,287000000,-574000000,1884000000,0.97
2216,2020/12,1442503000,-1572338000,-48125000,-1727317000,1253031000,6.19
2217,2021/01,1635216000,143416000,-178026000,-,3417188000,6.37
2218,2021/03,623330000,-262229000,-282010000,-,2296168000,3.67
2220,2021/03,8671000000,-6337000000,-257000000,-5778000000,6505000000,8.39
2221,2021/03,3572738000,-5830566000,1767734000,-6004143000,1265919000,16.12
2222,2021/03,82901000,-605088000,-462901000,-663362000,7309405000,0.36
2224,2021/03,607516000,-514812000,-106606000,-508832000,329090000,9.33
2226,2021/06,3027000000,-4570000000,1863000000,-4790000000,4264000000,7.53
2229,2021/03,30450000000,-32069000000,-7635000000,-11341000000,47282000000,11.42
2230,2021/05,248595000,-22830000,-209557000,-23813000,297048000,11.52
2264,2021/03,38544000000,-25305000000,-2627000000,-,19138000000,6.61
2266,2020/12,5768000000,-2460000000,-1393000000,-2454807000,7270892000,10.5
2267,2021/03,55820000000,-19623000000,-31254000000,-,122766000000,14.47
2268,2020/12,3054185000,-1257158000,-471094000,-644096000,2628748000,17.35
2269,2021/03,123683000000,-93110000000,-28293000000,-67900000000,39011000000,10.38
2270,2021/03,26567000000,-27076000000,6771000000,-,21829000000,4.32
2281,2021/03,27248000000,-12205000000,-7509000000,-10393000000,29773000000,6.28
2282,2021/03,82518000000,-57827000000,-14934000000,-,83831000000,7.02
2286,2021/03,3280046000,47285000,-2904230000,-1060342000,1976245000,7.39
2288,2021/03,7673000000,-5388000000,-2053000000,-,8476000000,3.44
2291,2021/03,349000000,-290000000,64000000,-279000000,2515000000,1.38
2292,2021/02,16507000000,677000000,-7326000000,-5569000000,39829000000,5.04
2293,2021/03,615697000,-234921000,-257168000,-241408000,1734907000,2.03
2294,2021/02,1152000000,-433000000,-789000000,-226000000,7417000000,3.09
2296,2021/03,40862000000,-10837000000,-21097000000,-10911000000,50651000000,4.85
2300,2021/02,-499970000,-34532000,237154000,-88561000,408676000,-10.24
2301,2020/10,706447000,-27719000,-752338000,-121784000,2589478000,12.35
2303,2021/05,228539000,-110777000,-31857000,-777000,614612000,20.42
2304,2020/09,345879000,-71488000,67303000,-27766000,1149207000,2.89
2305,2021/02,6667532000,-3651339000,-456212000,-3652203000,13181317000,18.34
2307,2021/03,359548000,-415929000,334937000,-91274000,1264359000,3.74
2309,2021/09,9804000000,-6685000000,-6348000000,-7271000000,9379000000,11.43
2311,2020/12,513021000,-411755000,-267748000,-165723000,1321127000,11.71
2315,2020/10,-591209000,446550000,2540213000,-104796000,4960433000,-9.85
2317,2021/03,7205000000,-1562000000,-1983000000,-,18875000000,11.84
2321,2021/03,47236000,-24350000,12597000,-44695000,217172000,15.23
2323,2021/03,90360000,86308000,-35527000,-3467000,341113000,15.26
2325,2020/12,2500165000,-371722000,-852848000,-234799000,14343181000,13.19
2326,2021/03,5221000000,-830000000,-671000000,-835000000,11382000000,76.5
2327,2021/03,17544000000,10414000000,-7395000000,-,78579000000,6.96
2329,2021/03,4424000000,105000000,-1052000000,-822000000,30866000000,8.37
2330,2020/12,112497000,187236000,282474000,-9803000,1046859000,2.79
2331,2021/03,55522000000,-38452000000,-12714000000,-13439000000,53143000000,11.82
2332,2021/03,653111000,-108149000,-184469000,-7276000,3053917000,5.84
2334,2021/03,-249866000,-39588000,7973000,-139596000,421012000,-17.36
2335,2021/03,1043068000,58501000,-215207000,-39306000,4447541000,7.05
2337,2021/02,15463000000,-15630000000,10167000000,-17915000000,50590000000,25.2
2338,2021/02,-272474000,-107767000,301318000,0,792815000,-110.99
2340,2021/03,122578000,-275489000,-103273000,-208140000,4788176000,1.4
2341,2021/02,-437530000,-51544000,-187590000,-65413000,3488367000,-14.11
2342,2021/03,1222364000,48434000,10039000,-145807000,3030149000,11.07
2344,2021/03,540753000,-868362000,-1067718000,-1457546000,9174533000,6.48
2345,2020/10,109371000,-561943000,-66657000,-,552191000,5.88
2349,2021/03,2123924000,354534000,-258772000,-109581000,11069587000,12.01
2351,2021/03,438303000,-366727000,53322000,-66757000,845307000,17.49
2352,2021/03,415786000,-478118000,349551000,-171979000,1270442000,17.64
2353,2021/07,3406287000,-2195904000,-4218437000,-2316003000,13434925000,14.32
2354,2021/02,841097000,119756000,-113416000,-625299000,2648240000,5.81
2359,2021/03,1851105000,48596000,-922732000,-170442000,3636219000,8.91
2362,2020/09,9934007000,476424000,-5088491000,-318251000,15426037000,16.93
2370,2021/09,-974000000,344000000,1082000000,-34171000,4095689000,-142.61
2371,2021/03,17288000000,-2182000000,-9722000000,-617000000,34888000000,33.85
2372,2021/03,374000000,-1468000000,2754000000,-2636000000,3859000000,2.9
2373,2020/10,2875304000,-1106600000,-77194000,-784318000,2925538000,8.46
2374,2021/03,2280422000,-691609000,-2017000,-1164751000,5783729000,4.97
2375,2020/10,940714000,-390751000,728826000,-611570000,4062917000,4.76
2376,2021/03,172960000,-1435517000,3131864000,-1238014000,3867967000,1.33
2378,2021/03,-5417734000,-2928096000,9271940000,-2465903000,7095721000,-17.93
2379,2021/02,5905840000,-9643438000,-3041250000,-3368537000,12462677000,18.17
2384,2020/12,17262000000,-30480000000,22726000000,-,27537000000,6.71
2385,2021/06,-107441000,-24850000,-131246000,-24208000,4255805000,-1.2
2388,2021/09,4604000000,54000000,-5839000000,-113687000,177447000,79.76
2389,2020/12,2179000000,1575000000,2951000000,-963000000,27054000000,2.45
2391,2021/07,779947000,-243428000,-275199000,-709000,2496518000,25.43
2393,2021/03,1804477000,-1043509000,-694757000,-467113000,1677467000,8.59
2395,2021/03,4746687000,-268657000,-2471074000,-1118021000,7279835000,31.41
2397,2021/03,-76019000,-51396000,445838000,-51396000,620801000,-23.43
2398,2021/03,6517000000,-5507000000,-842000000,-5589000000,11177000000,6.99
2402,2020/12,-529032000,-351335000,1531338000,-331622000,1990440000,-3.06
2404,2021/08,-165000000,228000000,-473000000,-17231000,1399747000,-3.15
2406,2020/12,339262000,-665929000,-53948000,-596566000,1195214000,4.31
2408,2020/12,-333002000,319628000,-75708000,-11273000,456429000,-17.42
2410,2021/09,633000000,-431000000,-122000000,-428575000,2519310000,6.71
2411,2021/03,-114000000,11000000,-140000000,-51000000,3802000000,-1.57
2412,2021/03,9862000000,-1175000000,-4110000000,-1119000000,17554000000,26.06
2413,2021/03,46627000000,3592000000,-11615000000,-1230000000,89144000000,27.56
2415,2021/03,2046058000,-1022753000,1674638000,-1091260000,22848737000,2.38
2417,2020/02,-2776000,825394000,-130893000,-118282000,1663685000,-0.09
2418,2020/12,-8871000000,-7702000000,10545000000,-8925000000,22202000000,-32.72
2424,2021/07,1458233000,-201109000,-851575000,-158355000,2347367000,15.61
2425,2021/03,340835000,-48942000,-274763000,-34621000,969079000,3.92
2427,2020/12,22498000000,-8720000000,26905000000,-1905000000,81720000000,6.14
2428,2021/06,2599796000,-1799223000,1013509000,-1654668000,10423938000,29.4
2429,2020/12,13770000000,-1030000000,-6604000000,-1199000000,22817000000,9.59
2432,2021/03,29967000000,-8640000000,6614000000,-3437000000,97301000000,21.88
2433,2021/03,36212000000,-9831000000,-12767000000,-10770000000,176042000000,5.07
2435,2021/03,1137000000,-2064000000,881000000,-2013000000,825000000,7.28
2436,2020/12,384000000,-101000000,241000000,-,1488836000,7.7
2437,2021/05,758679000,-16913000,-578352000,-18899000,345571000,26.97
2438,2021/04,359336000,-335819000,-169864000,-446257000,1410088000,6.22
2440,2021/03,-3815192000,-147168000,-187373000,-282731000,7507254000,-23.58
2445,2021/03,5035000000,-1382000000,-2873000000,-1397299000,7712000000,12.97
2449,2021/08,224000000,-689000000,-310000000,-55803000,2749000000,2.73
2453,2021/09,1654000000,1061000000,-120000000,-542415000,10975264000,12.29
2454,2021/03,808298000,-605234000,98205000,-438723000,2712475000,4.68
2459,2021/05,-188077000,101469000,9229000,-2464000,459546000,-18.21
2461,2020/12,2649183000,730866000,-2440801000,-217200000,19532772000,9.02
2462,2021/05,5695067000,-1806788000,-7444251000,-1948967000,9516239000,10.49
2464,2021/03,869526000,-341120000,22249000,-347109000,1893132000,14.77
2467,2021/03,-125791000,-110673000,273106000,-85538000,196768000,-8.57
2468,2021/03,-85093000,-283065000,27622000,-310711000,2537123000,-4.64
2469,2021/03,-1097171000,-2174173000,4307370000,-2012622000,3816134000,-3.59
2471,2020/11,2234000000,-2054000000,215000000,-2132000000,2514000000,10.63
2475,2021/03,4202316000,-122139000,-901390000,-118410000,19360521000,9.52
2477,2021/06,689669000,-1898000,-175030000,-,4484099000,42.83
